ebmf_factor,rematched_rqvi_candidate,pearson_r_match_basis_108,pearson_r_display_basis_107,same_as_shipped
F1,seed3:GP24,0.631257395389066,0.6309270899355465,True
F2,seed7:GP20,0.9809339751548616,0.9809368704461676,False
F3,seed6:GP188,0.8630085152202083,0.8627960938721267,True
F4,seed1:GP104,0.5659174878004418,0.5679155228220247,False
F5,seed8:GP62,0.9893364142886375,0.9893666682050818,False
F6,seed4:GP13,0.8942560836429115,0.8943060400893675,True
F7,seed2:GP208,0.9786382340815319,0.9787374190960926,True
F8,seed8:GP45,0.9022434193020823,0.902271107184887,True
F9,seed5:GP37,0.7682596102749829,0.768789874122479,True
F10,seed7:GP18,0.9508372007093908,0.9508134512385621,True
F11,seed2:GP28,0.7621274508144197,0.7616068699522557,False
F12,seed8:GP100,0.774435122505578,0.7747482714251419,False
F13,seed7:GP21,0.9440689978728157,0.944484302672287,True
F14,seed8:GP214,0.9973046839017968,0.9973114353777079,True
F15,seed9:GP50,0.9566377551138041,0.9565309201464393,True
F16,seed0:GP31,0.9792315055630411,0.979481431324931,True
F17,seed2:GP107,0.6203708085476902,0.6215498581401743,False
F18,seed2:GP56,0.8275932948296356,0.839534255071627,False
F19,seed7:GP95,0.7381669078310726,0.7387131481158695,False
F20,seed6:GP18,0.973541402904978,0.9735636003393097,True
F21,seed0:GP60,0.9977134237265458,0.9977143301175542,True
F22,seed6:GP96,0.8988777455481296,0.8987272175158804,True
F23,seed2:GP64,0.7385163544781479,0.7401969043419625,False
F24,seed5:GP130,0.5480649905632655,0.5509884941166281,False
F25,seed7:GP86,0.8273543923044835,0.827872640179055,True
F26,seed2:GP68,0.7917071467183091,0.7911966798111001,True
F27,seed7:GP1,0.9389586764917093,0.9389782843826399,True
F28,seed9:GP42,0.8809605411367362,0.8810826509137597,False
F29,seed2:GP73,0.8706037588352276,0.8714998784481157,True
F30,seed5:GP112,0.9334850256538076,0.9333560108945115,True
F31,seed3:GP202,0.6102119001100014,0.6138872366466447,False
F32,seed5:GP107,0.6712643227580116,0.6712265181044865,True
F33,seed4:GP108,0.5106640481855356,0.5106306453685635,False
F34,seed4:GP216,0.9560000270318973,0.9578783977494444,False
F35,seed2:GP67,0.8665671555781865,0.8658926986713307,False
F36,seed6:GP109,0.9371306690613836,0.9371224195258603,True
F37,seed0:GP28,0.9151409605725243,0.9151065750549636,False
F38,seed4:GP170,0.5600532147165007,0.5593890620679064,False
F39,seed2:GP22,0.7721626295549174,0.7726772374679084,False
F40,seed2:GP198,0.8313378390980548,0.8352766747377589,False
F41,seed0:GP74,0.7478583407972581,0.747910457614113,True
F42,seed8:GP63,0.7950829711267763,0.798872733717661,False
F43,seed8:GP192,0.5198089141305976,0.5190972256113483,False
F44,seed5:GP247,0.6875904916724463,0.6876096597990238,False
F45,seed5:GP197,0.7107170861365935,0.7106143590329312,False
F46,seed4:GP206,0.6938868432516643,0.7053465591323541,False
F47,seed6:GP25,0.5497896745620204,0.5493766985582946,False
F48,seed3:GP58,0.9238163225875526,0.9255092890742764,False
F49,seed5:GP2,0.6887855017706577,0.6970812140637245,True
F50,seed5:GP146,0.7216089236336435,0.7215397084539286,False
F51,seed1:GP208,0.455903988158984,0.4593234839737344,False
F52,seed0:GP175,0.49645849678962234,0.4957667352787595,False
F53,seed9:GP34,0.8277421122581825,0.8279829284757309,True
F54,seed4:GP23,0.6604808626930088,0.6604555309841239,True
F55,seed3:GP10,0.7674446706884823,0.7672682800919286,True
F56,seed7:GP234,0.9302123519374815,0.9302808286662569,True
F57,seed1:GP28,0.7203178638548318,0.7204632727433943,False
F58,seed1:GP110,0.8464647161931248,0.8461657819019053,True
F59,seed5:GP205,0.9005923398561878,0.904357168566997,True
F60,seed2:GP147,0.8590044481581935,0.8589896107598238,False
F61,seed2:GP34,0.684163047154949,0.684100393436473,True
F62,seed6:GP124,0.9582669163760381,0.9582212909162796,True
F63,seed8:GP185,0.5874076655659459,0.5846391463655801,False
F64,seed0:GP214,0.5146683935234401,0.5179570438615522,False
F65,seed6:GP252,0.7236851266568088,0.7236476155138353,False
F66,seed0:GP57,0.5591834940531373,0.5590217904475362,True
F67,seed5:GP30,0.5426735595656065,0.5422057692457366,False
F68,seed3:GP76,0.933040075927919,0.9394907890018156,True
F69,seed7:GP236,0.9468944821305553,0.9470624117967562,False
F70,seed5:GP173,0.5145578092785655,0.5150242251831734,False
F71,seed9:GP248,0.6801984597261713,0.6798614682850742,False
F72,seed8:GP40,0.9374112290380436,0.9373224146821221,True
F73,seed7:GP19,0.7063927467726221,0.7069843600162716,False
F74,seed6:GP88,0.4096452954433245,0.4264499078090792,False
F75,seed8:GP121,0.43706918717403404,0.45118013990442574,False
F76,seed8:GP16,0.6208250767997016,0.6366468061466442,False
F77,seed2:GP6,0.9688231239437313,0.9688294926589215,False
F78,seed2:GP157,0.47720366973467176,0.47636731223912104,False
F79,seed9:GP30,0.6592431541646884,0.6593828155008822,False
F80,seed4:GP101,0.781466580640266,0.7809629707202703,True
F81,seed2:GP71,0.8497124001928422,0.8497757608827039,True
F82,seed2:GP249,0.6289611932639543,0.6289895463669583,True
F83,seed6:GP173,0.810216420905744,0.8167400832142622,False
F84,seed1:GP60,0.7755902111535519,0.7754263776148694,False
F85,seed4:GP34,0.8451188043242291,0.8451305926207532,False
F86,seed2:GP52,0.5129262357419235,0.513696100981768,False
F87,seed5:GP217,0.6603129875366132,0.6600969811923645,False
F88,seed9:GP71,0.4898628926180165,0.4889422606620987,False
F89,seed9:GP102,0.8052824814043699,0.8054988943471048,False
F90,seed3:GP64,0.7319834205998872,0.7322134866242302,False
F91,seed5:GP235,0.5092143884860916,0.5092629709181269,False
F92,seed4:GP239,0.8524063635718235,0.8523533045898662,True
F93,seed7:GP3,0.8897699679090431,0.8899235941257505,True
F94,seed2:GP219,0.7917896730677376,0.791707003301138,False
F95,seed8:GP194,0.573977485615178,0.5736129391786937,False
F96,seed1:GP225,0.6461029791072334,0.6457212956795176,False
F97,seed3:GP178,0.4606503310289993,0.4624959653449671,False
F98,seed6:GP85,0.7310804955117765,0.730999509363258,False
F99,seed2:GP59,0.6379949633795815,0.6380874091946079,True
F100,seed1:GP20,0.8620219569623417,0.8618668088074328,True
F101,seed8:GP225,0.901464762029673,0.9085585417700849,False
F102,seed1:GP171,0.6607924710682225,0.660808210222744,False
F103,seed0:GP44,0.36240232034304953,0.36204127582858103,False
F104,seed1:GP14,0.6813974616706717,0.6812605491094806,True
F105,seed4:GP7,0.5133148637495002,0.5128694285883201,True
F106,seed5:GP220,0.8728575533648514,0.8728920645531344,False
F107,seed2:GP23,0.854083183759006,0.8542269538603977,True
F108,seed4:GP159,0.8293313311271727,0.8292081780531073,False
F109,seed4:GP247,0.7933884268164968,0.7940343413927088,True
F110,seed2:GP7,0.9263396955091239,0.9268683369566887,False
F111,seed7:GP17,0.9075123162471632,0.9074892250208678,False
F112,seed1:GP97,0.7051805464981981,0.7050327022931933,False
F113,seed3:GP156,0.5389263947234556,0.5382330946981821,False
F114,seed1:GP62,0.7970252420765598,0.7971377495727072,False
F115,seed6:GP5,0.8112026247640818,0.8113476869801469,False
F116,seed4:GP27,0.6218522407841406,0.6217674135111502,False
F117,seed8:GP129,0.842332805495833,0.8822026361932105,True
F118,seed3:GP68,0.9669046255391541,0.9669561341591987,True
F119,seed4:GP88,0.9114863975116178,0.9114524758775472,False
F120,seed9:GP123,0.8474708712743534,0.8471576083084691,True
F121,seed5:GP13,0.809449064313307,0.809567840323936,True
F122,seed5:GP7,0.91088708306321,0.9109996457681437,False
F123,seed6:GP248,0.7930410589118101,0.7947765955965045,False
F124,seed0:GP229,0.8703529490761025,0.8709106335588905,False
F125,seed4:GP78,0.7058715161344713,0.7063956518804623,False
F126,seed6:GP32,0.7794300570093938,0.779159113547508,True
F127,seed7:GP79,0.889231718576548,0.8890921669330045,True
F128,seed5:GP199,0.9233762122546685,0.9234020268608372,False
F129,seed1:GP32,0.8651692872444492,0.8670367078618013,True
F130,seed3:GP42,0.6598777561943462,0.6598151645492285,False
F131,seed4:GP98,0.8676180159438035,0.867721288873651,False
F132,seed2:GP233,0.8705170085645478,0.8705385976492976,True
F133,seed0:GP13,0.9482210882230325,0.9482351092590803,True
F134,seed4:GP146,0.8548134154515,0.8549885805332832,False
F135,seed1:GP93,0.8262999078894391,0.8256947083332346,False
F136,seed1:GP56,0.45293010834059216,0.45257693317025294,False
F137,seed7:GP45,0.37614925404722044,0.37546579528728496,True
F138,seed9:GP154,0.6279741973608842,0.6289257270495495,False
F139,seed9:GP101,0.5903412936524507,0.5903176816116726,False
F140,seed4:GP162,0.628956163025058,0.6284012647430964,True
F141,seed2:GP221,0.5850236308522141,0.585811965872535,False
F142,seed2:GP248,0.4600664687600372,0.45979373140071994,False
F143,seed1:GP63,0.5823713711136017,0.5820547339575989,True
F144,seed4:GP70,0.6954572611717991,0.6961524445401012,False
F145,seed5:GP138,0.7246595288723637,0.7244768216171846,False
F146,seed4:GP14,0.4816755088455094,0.48162673904600345,False
F147,seed0:GP111,0.7283327088956351,0.7282416649696458,False
F148,seed9:GP38,0.7130014336137456,0.7135835403005176,False
F149,seed1:GP89,0.7645726298269039,0.7652029767872982,False
F150,seed1:GP25,0.9028683096008825,0.9029214455248402,False
F151,seed0:GP32,0.8825973948707753,0.8826282050392418,True
F152,seed8:GP191,0.778562691861137,0.7785715285403285,False
F153,seed5:GP26,0.8905251181870928,0.8908566396554894,True
F154,seed8:GP1,0.4678995837217648,0.5194639039615169,False
F155,seed3:GP231,0.5273551442040625,0.5266086325379902,False
F156,seed9:GP146,0.7842506219811595,0.7841730786111049,False
F157,seed2:GP2,0.7992014168272378,0.7989909625015397,True
F158,seed7:GP61,0.4687129985602013,0.4683429285540975,False
F159,seed2:GP185,0.9625456993741912,0.96256612485018,True
F160,seed5:GP52,0.5351695136722646,0.5350253638497565,False
F161,seed6:GP45,0.8930052803216776,0.8929607161481385,True
F162,seed3:GP59,0.8896070607535146,0.8896961673007465,True
F163,seed1:GP99,0.7620651154774161,0.7627133602786139,False
F164,seed9:GP46,0.5061744806265641,0.5058694418345246,True
F165,seed1:GP67,0.7478051746358632,0.7530824088178357,False
F166,seed2:GP128,0.5558573218995504,0.5702728480887838,True
F167,seed6:GP23,0.7404764758297985,0.7403888525102313,False
F168,seed7:GP216,0.6421352681984668,0.6429921531848609,True
F169,seed7:GP66,0.693524093666621,0.6934458486419331,False
F170,seed2:GP140,0.5424640937969222,0.542164764327147,False
F171,seed4:GP75,0.5702550867099749,0.5704735148963695,True
F172,seed7:GP237,0.4690257146157497,0.468421464974791,False
F173,seed3:GP57,0.8427724742241016,0.8428849157681203,True
F174,seed7:GP142,0.7781403232794054,0.7786420352465842,True
F175,seed5:GP66,0.8847753964101799,0.8847971654859733,False
F176,seed8:GP12,0.7803714107974192,0.7807238166387391,False
F177,seed3:GP92,0.9060301531328365,0.9059350109046179,True
F178,seed4:GP62,0.487695864429503,0.4871206999779363,False
F179,seed8:GP237,0.7062418380412486,0.7061553143386078,False
F180,seed0:GP3,0.9278336818640631,0.9278390716529197,True
F181,seed0:GP67,0.7194076668734873,0.718667909196071,True
F182,seed8:GP66,0.6764059401491841,0.6757665895420589,False
F183,seed7:GP62,0.7252286850775952,0.7252029649518092,False
F184,seed2:GP253,0.6379722685829415,0.6379612022771045,False
F185,seed6:GP15,0.6818039267699676,0.683952181825478,False
F186,seed4:GP11,0.5168110402152185,0.5188045442587561,False
F187,seed5:GP32,0.859375641821305,0.8594304590317866,False
F188,seed9:GP228,0.8071697141288212,0.8070973879172654,False
F189,seed3:GP23,0.7813127863663754,0.7813420754551091,False
F190,seed7:GP34,0.901652449158906,0.9017251843974458,False
F191,seed2:GP156,0.5464394690753746,0.5457060620611847,False
F192,seed2:GP27,0.6282316205448986,0.6276400111470596,True
F193,seed5:GP4,0.6604169782518001,0.6602556589328309,False
F194,seed2:GP66,0.5755952429286241,0.5748506559880348,False
F195,seed1:GP228,0.7089279476516696,0.7088090492862964,True
F196,seed9:GP218,0.7730458230252683,0.7729870341411715,True
F197,seed9:GP90,0.7660680865760473,0.7666321866925997,True
F198,seed2:GP192,0.6722076130561101,0.6785703991531921,True
F199,seed1:GP156,0.6604157931819999,0.6609870158522076,False
F200,seed5:GP39,0.8562022493884612,0.8564439675432844,False
